问题,忠实度,答案相关度,检索召回,检索精确度
机器学习分为哪几类学习方式？,1.0,0.8692756423518508,1.0,0.9999999999
什么是过拟合？如何解决？,1.0,0.4215003944795348,1.0,0.99999999995
什么是位置编码？为什么 Transformer 需要它？有哪些实现方式？,1.0,0.7700721883958964,1.0,0.9999999999666667
什么是词元化？BPE 和 WordPiece 有什么区别？,1.0,0.6250958829831066,1.0,0.9999999999666667
一个完整的 RAG 流水线包含哪些关键步骤？,1.0,0.682666143310584,1.0,0.9999999999666667
什么是 Lost in the Middle 问题？如何缓解？,1.0,0.5009408283567268,1.0,0.9999999999666667
一个 LLM 智能体由哪些核心组件构成？,1.0,0.9140018967336969,1.0,0.9999999999666667
什么是 ReAct 框架？,1.0,0.8537263481920242,1.0,0.9999999999666667
什么是 few-shot 提示？,0.7777777777777778,0.4906457209660333,1.0,0.9999999999666667
什么是 LoRA？,ERROR: APITimeoutError,0.6725577036589808,0.5,0.9999999999666667
什么是 RLHF？,1.0,0.7045675245246148,0.0,0.9999999999666667
什么是 MCP？,1.0,0.576666194581596,0.3333333333333333,0.9999999999666667
什么是 Agent 循环？它是如何决定停止的？,0.8333333333333334,0.6442156503674878,1.0,0.9999999999666667
什么是 KV cache？,1.0,0.6562548700912165,1.0,0.9999999999666667
什么是模型量化？,0.9166666666666666,0.5810468795388624,1.0,0.9999999999666667
什么是混合检索？为什么它比纯向量检索更好？,ERROR: APITimeoutError,0.5428657336976436,1.0,0.9999999999666667
稀疏向量和稠密向量有什么区别？,1.0,0.4264417642907658,1.0,0.9999999999666667
CLIP 是如何工作的？,ERROR: OutputParserException,0.963080649767695,1.0,0.9999999999666667
为什么 BLEU、ROUGE 这类传统指标评估 LLM 生成质量有很大局限？,1.0,0.7011828377044452,1.0,0.5833333333041666
什么是幻觉？RAG 检索到正确上下文却还在幻觉，该怎么修？,0.8571428571428571,0.4998350019510211,1.0,0.9999999999666667
微调、RAG、提示工程三者到底该怎么选？,1.0,0.5445557963244744,1.0,0.9999999999666667
MHA、MQA、GQA 有什么区别？,1.0,0.670686307754873,1.0,0.9999999999666667
LangChain 和 LlamaIndex 有什么不同？,1.0,0.8304391089528083,1.0,0.9999999999666667
RAG 和传统搜索系统有什么区别？,1.0,0.7261550174396563,1.0,0.9999999999666667
如何全面评估一个 RAG 系统的性能？,1.0,0.728097260101995,1.0,0.9999999999666667
LLM 应用上线后如何监控和维护？,1.0,0.7143161520608926,1.0,0.9999999999666667
从 0 构建一个智能体应用需要哪些核心组件？,1.0,0.5670905973510834,1.0,0.9999999999666667
如何防止 LLM 应用中的安全风险？,0.625,0.8404980313773859,1.0,0.9999999999666667
怎么做红烧肉？,0.0,0.0,0.0,0.0
请介绍北京烤鸭的完整做法,0.0,0.0,0.0,0.0
AI 咋记住之前说过的话？,1.0,0.7974677563759834,0.5,0.9999999999666667
帮我看下那个 RAG 到底咋回事,0.625,0.5930752591960796,1.0,0.9999999999666667
RAG 是不是比微调划算,1.0,0.49295538730464944,1.0,0.9999999999666667
向量是咋存的，咋就找得到差不多的,0.9333333333333333,0.36327017477054596,1.0,0.9999999999666667
模型老学一样的东西会不会学坏,0.8181818181818182,0.43578215877582166,0.6666666666666666,0.9999999999666667
咋让 AI 自己动手调工具,1.0,0.6031302546416929,1.0,0.9999999999666667
prompt 咋写才能让模型听话点,1.0,0.434483646345889,1.0,0.9999999999666667
模型上线了咋让它跑快点,1.0,0.45511850069747206,0.0,0.9999999999666667
咋知道模型答得对不对，光看它自己说行吗,1.0,0.5211395005686119,1.0,0.9999999999666667
