问题,忠实度,答案相关度,检索召回,检索精确度
机器学习分为哪几类学习方式？,1.0,0.8766149652679379,1.0,0.9999999999
什么是过拟合？如何解决？,1.0,0.4247846341469012,1.0,0.99999999995
什么是位置编码？为什么 Transformer 需要它？有哪些实现方式？,1.0,0.778723323170681,1.0,0.9999999999666667
什么是词元化？BPE 和 WordPiece 有什么区别？,0.9090909090909091,0.7275817336211688,1.0,0.99999999995
一个完整的 RAG 流水线包含哪些关键步骤？,1.0,0.682666143310584,1.0,0.9999999999666667
什么是 Lost in the Middle 问题？如何缓解？,1.0,0.48892643491568716,1.0,0.9999999999666667
一个 LLM 智能体由哪些核心组件构成？,1.0,0.9140018967336969,1.0,0.8333333332916666
什么是 ReAct 框架？,1.0,0.7146592466281136,1.0,0.9999999999666667
什么是 few-shot 提示？,1.0,0.5234652216570163,1.0,0.9999999999666667
什么是 LoRA？,1.0,0.7895839193052167,0.5,0.9999999999666667
什么是 RLHF？,0.9090909090909091,0.6214778694024876,0.6666666666666666,0.9999999999666667
什么是 MCP？,1.0,0.5612382566692838,0.3333333333333333,0.9999999999666667
什么是 Agent 循环？它是如何决定停止的？,1.0,0.6635091458049173,1.0,0.9999999999666667
什么是 KV cache？,1.0,0.6562548700912165,1.0,0.9999999999666667
什么是模型量化？,0.9230769230769231,0.583851538764233,1.0,0.9999999999666667
什么是混合检索？为什么它比纯向量检索更好？,0.8571428571428571,0.5428657336976436,1.0,0.9999999999666667
稀疏向量和稠密向量有什么区别？,1.0,0.4264417642907658,1.0,0.9999999999666667
CLIP 是如何工作的？,1.0,0.5582423466537897,1.0,0.9999999999666667
为什么 BLEU、ROUGE 这类传统指标评估 LLM 生成质量有很大局限？,0.8571428571428571,0.7191971210836728,1.0,0.3333333333
什么是幻觉？RAG 检索到正确上下文却还在幻觉，该怎么修？,1.0,0.6074351723616439,1.0,0.9999999999666667
微调、RAG、提示工程三者到底该怎么选？,1.0,0.5407351336218226,1.0,0.9999999999666667
MHA、MQA、GQA 有什么区别？,1.0,0.6827088887403113,1.0,0.9999999999666667
LangChain 和 LlamaIndex 有什么不同？,1.0,0.8054067342521586,1.0,0.9999999999666667
RAG 和传统搜索系统有什么区别？,1.0,0.7692895373946813,1.0,0.9999999999666667
如何全面评估一个 RAG 系统的性能？,0.8571428571428571,0.7440488301056328,1.0,0.9999999999666667
LLM 应用上线后如何监控和维护？,1.0,0.7143161520608926,1.0,0.9999999999666667
从 0 构建一个智能体应用需要哪些核心组件？,0.8333333333333334,0.5670905973510834,1.0,0.9999999999666667
如何防止 LLM 应用中的安全风险？,1.0,0.8469487474535894,1.0,0.9999999999666667
怎么做红烧肉？,0.0,0.0,0.0,0.0
请介绍北京烤鸭的完整做法,0.0,0.0,1.0,0.0
AI 咋记住之前说过的话？,1.0,0.7974677563759834,1.0,0.9999999999666667
帮我看下那个 RAG 到底咋回事,1.0,0.45820518990058257,1.0,0.9999999999666667
RAG 是不是比微调划算,1.0,0.543636919532399,1.0,0.9999999999666667
向量是咋存的，咋就找得到差不多的,0.8181818181818182,0.35151702379040434,1.0,0.9999999999666667
模型老学一样的东西会不会学坏,0.75,0.3718975909644184,1.0,0.9999999999666667
咋让 AI 自己动手调工具,1.0,0.6741623897535468,1.0,0.9999999999666667
prompt 咋写才能让模型听话点,1.0,0.46052254396860404,1.0,0.9999999999666667
模型上线了咋让它跑快点,1.0,0.5850567927227902,1.0,0.9999999999666667
咋知道模型答得对不对，光看它自己说行吗,1.0,0.5269879184115315,0.25,0.9999999999666667
