问题,忠实度,答案相关度,检索召回,检索精确度
机器学习分为哪几类学习方式？,0.75,0.7462850826232289,1.0,0.9999999999
什么是过拟合？如何解决？,1.0,0.9361586876896252,1.0,0.8333333332916666
什么是欠拟合？怎么解决？,0.8333333333333334,0.388598897580368,1.0,0.8333333332916666
k 折交叉验证是怎么做的？,1.0,0.4692609249696629,1.0,0.9999999999
什么是自注意力机制？,0.8333333333333334,0.5086334434462447,1.0,0.99999999995
Transformer 相比 RNN 有什么优势？,1.0,0.750105699499867,1.0,0.99999999995
大语言模型经过哪几个阶段训练？,1.0,0.959578146261866,1.0,0.9999999999666668
RAG 相比直接调用大模型有什么好处？,1.0,0.683648530977464,1.0,0.9999999999666668
微调和提示词工程有什么区别？,1.0,0.3547004652067165,1.0,0.8333333332916666
什么是 Embedding？,1.0,0.5589508262613173,1.0,0.9999999999666668
常见的相似度度量有哪些？,1.0,1.0,1.0,0.9999999999
如果模型在训练集表现好但在测试集表现差，这是什么问题？该怎么办？,0.7,0.9566633881543956,1.0,0.9999999999
面试机器学习岗位需要掌握哪些核心概念？,1.0,0.7078531594328025,0.5555555555555556,0.9999999999666668
怎么做红烧肉？,0.0,0.0,0.0,0.0
