问题,忠实度,答案相关度,检索召回,检索精确度
机器学习分为哪几类学习方式？,1.0,0.0,1.0,0.0
什么是过拟合？如何解决？,1.0,0.4153295790139568,0.5,0.0
什么是位置编码？为什么 Transformer 需要它？有哪些实现方式？,1.0,0.7864133022276988,1.0,0.9999999999666667
什么是词元化？BPE 和 WordPiece 有什么区别？,1.0,0.6250958829831066,1.0,0.9999999999666667
一个完整的 RAG 流水线包含哪些关键步骤？,1.0,0.9730156201880803,1.0,0.9999999999666667
什么是 Lost in the Middle 问题？如何缓解？,1.0,0.5102498921056661,1.0,0.8333333332916666
一个 LLM 智能体由哪些核心组件构成？,1.0,0.6892699410072956,1.0,0.9999999999666667
什么是 ReAct 框架？,1.0,0.8537263481920242,1.0,0.9999999999666667
什么是 few-shot 提示？,1.0,0.4906457209660333,1.0,0.9999999999666667
什么是 LoRA？,1.0,0.6178093554306041,0.5,0.9999999999666667
什么是 RLHF？,1.0,0.61083280201481,0.6666666666666666,0.9999999999666667
什么是 MCP？,1.0,0.62311650237013,1.0,0.9999999999666667
什么是 Agent 循环？它是如何决定停止的？,1.0,0.8109262463591188,1.0,0.9999999999666667
什么是 KV cache？,1.0,0.6597031814643731,1.0,0.9999999999666667
什么是模型量化？,1.0,0.6046433861034054,1.0,0.9999999999666667
什么是混合检索？为什么它比纯向量检索更好？,1.0,0.5856951680434775,1.0,0.9999999999666667
稀疏向量和稠密向量有什么区别？,1.0,0.4264417642907658,1.0,0.9999999999666667
CLIP 是如何工作的？,1.0,0.574621863825395,1.0,0.9999999999666667
为什么 BLEU、ROUGE 这类传统指标评估 LLM 生成质量有很大局限？,1.0,0.7245819411006081,1.0,0.9999999999666667
什么是幻觉？RAG 检索到正确上下文却还在幻觉，该怎么修？,0.9375,0.5355744826982441,1.0,0.9999999999666667
微调、RAG、提示工程三者到底该怎么选？,1.0,0.47734516353297557,1.0,0.9999999999666667
MHA、MQA、GQA 有什么区别？,1.0,0.6711013055091716,1.0,0.9999999999666667
LangChain 和 LlamaIndex 有什么不同？,1.0,0.78398643171542,1.0,0.9999999999666667
RAG 和传统搜索系统有什么区别？,1.0,0.7692895373946813,1.0,0.9999999999666667
如何全面评估一个 RAG 系统的性能？,1.0,0.7376894582949994,1.0,0.9999999999666667
LLM 应用上线后如何监控和维护？,1.0,0.7042617151084031,1.0,0.9999999999666667
从 0 构建一个智能体应用需要哪些核心组件？,1.0,0.4714277871430932,1.0,0.9999999999666667
如何防止 LLM 应用中的安全风险？,1.0,0.8851530855380574,0.0,0.9999999999666667
怎么做红烧肉？,0.0,0.0,0.0,0.0
请介绍北京烤鸭的完整做法,0.0,0.0,0.0,0.0
