问题,忠实度,答案相关度,检索召回,检索精确度
机器学习分为哪几类学习方式？,0.75,0.7462850826232289,1.0,0.49999999995
什么是过拟合？如何解决？,0.7777777777777778,0.9361586876896252,1.0,0.9999999999
什么是欠拟合？怎么解决？,0.8,0.6094334122223811,1.0,0.9999999999
k 折交叉验证是怎么做的？,1.0,0.5313409363746945,1.0,0.9999999999
什么是自注意力机制？,1.0,0.5086334434462447,1.0,0.8333333332916666
Transformer 相比 RNN 有什么优势？,0.8571428571428571,0.7590743643644867,1.0,0.9999999999
大语言模型经过哪几个阶段训练？,1.0,0.9828144716822956,1.0,0.9999999999666668
RAG 相比直接调用大模型有什么好处？,1.0,0.683648530977464,1.0,0.9999999999666668
微调和提示词工程有什么区别？,1.0,0.476995649131442,1.0,0.9999999999666668
什么是 Embedding？,1.0,0.5497001174092437,1.0,0.9999999999666668
常见的相似度度量有哪些？,1.0,1.0,1.0,0.9999999999
如果模型在训练集表现好但在测试集表现差，这是什么问题？该怎么办？,1.0,0.9566633881543956,1.0,0.49999999995
面试机器学习岗位需要掌握哪些核心概念？,1.0,0.7154188347995628,0.7777777777777778,0.9999999999666668
怎么做红烧肉？,0.0,0.0,0.0,0.0
