问题,忠实度,答案相关度,检索召回,检索精确度
机器学习分为哪几类学习方式？,0.6,0.7462850826232289,1.0,0.9999999999
什么是过拟合？如何解决？,1.0,0.9361586876896252,1.0,0.99999999995
什么是位置编码？为什么 Transformer 需要它？有哪些实现方式？,1.0,0.7203414665279481,1.0,0.9999999999666667
什么是词元化？BPE 和 WordPiece 有什么区别？,1.0,0.630921502604917,1.0,0.9999999999666667
一个完整的 RAG 流水线包含哪些关键步骤？,1.0,0.691883015156193,1.0,0.9999999999666667
什么是 Lost in the Middle 问题？如何缓解？,1.0,0.5261840142755548,1.0,0.9999999999666667
一个 LLM 智能体由哪些核心组件构成？,1.0,0.6836165333125911,1.0,0.8333333332916666
什么是 ReAct 框架？,1.0,0.8537263481920242,1.0,0.9999999999666667
什么是 few-shot 提示？,1.0,0.5219888548028427,1.0,0.9999999999666667
什么是 LoRA？,1.0,0.629549947189393,0.5,0.9999999999666667
什么是 RLHF？,1.0,0.6214778694024876,0.6666666666666666,0.9999999999666667
什么是 MCP？,1.0,0.611936259708424,0.3333333333333333,0.9999999999666667
什么是 Agent 循环？它是如何决定停止的？,1.0,0.8321762140966743,1.0,0.9999999999666667
什么是 KV cache？,1.0,0.7007171210535864,1.0,0.9999999999666667
什么是模型量化？,1.0,0.5651389752830616,1.0,0.9999999999666667
什么是混合检索？为什么它比纯向量检索更好？,ERROR: APITimeoutError,0.5428657336976436,1.0,0.9999999999666667
稀疏向量和稠密向量有什么区别？,1.0,0.4264417642907658,1.0,0.9999999999666667
CLIP 是如何工作的？,0.8,0.5618839720952522,1.0,0.9999999999666667
为什么 BLEU、ROUGE 这类传统指标评估 LLM 生成质量有很大局限？,1.0,0.7071875988308545,1.0,0.3333333333
什么是幻觉？RAG 检索到正确上下文却还在幻觉，该怎么修？,1.0,0.47020254788223687,1.0,0.9999999999666667
微调、RAG、提示工程三者到底该怎么选？,1.0,0.5463627648644286,1.0,0.9999999999666667
MHA、MQA、GQA 有什么区别？,1.0,0.6711013055091716,1.0,0.5833333333041666
LangChain 和 LlamaIndex 有什么不同？,1.0,0.8087574349250982,1.0,0.9999999999666667
RAG 和传统搜索系统有什么区别？,1.0,0.7692895373946813,1.0,0.9999999999666667
如何全面评估一个 RAG 系统的性能？,1.0,0.7440488301056328,1.0,0.9999999999666667
LLM 应用上线后如何监控和维护？,1.0,0.7143161520608926,1.0,0.9999999999666667
从 0 构建一个智能体应用需要哪些核心组件？,1.0,0.5670905973510834,1.0,0.9999999999666667
如何防止 LLM 应用中的安全风险？,1.0,0.8373240580921504,1.0,0.9999999999666667
怎么做红烧肉？,0.0,0.0,0.0,0.0
请介绍北京烤鸭的完整做法,0.0,0.0,1.0,0.0
